Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds)
Bose WC,Ceravolo,sudden_trace_noise15_1000_cb,500.0,2.0,,,,,,,,,,[],[499],,,00:00:03,3.0
Earth Mover's Distance,Ostovar,Composite_OIR_output_OIR,100.0,2.0,,,,,,,,,,"[950, 1588, 1938, 2770]","[999, 1999]",0.6666666666666666,55.0,00:07:12,432.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500.0,50.0,"[968.5555555555555, 1773.0, 1910.2608695652175]","[999, 1999]",0.8,59.59178743961348,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500.0,100.0,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1.0,62.45138888888886,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500.0,150.0,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1.0,62.45138888888886,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500.0,200.0,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1.0,62.45138888888886,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500.0,250.0,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1.0,62.45138888888886,00:00:09,9.0
ProDrift,Ostovar,Atomic_Swap_output_Swap,200.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:10:28,628.0
Bose J,Ceravolo,sudden_trace_noise10_1000_OIR,500.0,2.0,,,,,,,,,,[],[499],,,00:00:08,8.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_OIR,500.0,2.0,,,,,,,,,,[],[499],,,00:00:04,4.0
Bose J,Ostovar,Atomic_Loop_output_Loop_2,100.0,2.0,,,,,,,,,,"[956, 1934, 2310]","[999, 1999]",0.8,54.0,00:15:35,935.0
Bose WC,Ostovar,Atomic_Loop_output_Loop_2,100.0,2.0,,,,,,,,,,"[908, 1930]","[999, 1999]",1.0,80.0,00:13:46,826.0
Bose J,Ostovar,Nested_IOR_output_IOR_5,300.0,2.0,,,,,,,,,,"[950, 1932]","[999, 1999]",1.0,58.0,00:31:20,1880.0
Bose WC,Ostovar,Nested_IOR_output_IOR_5,300.0,2.0,,,,,,,,,,"[924, 1958]","[999, 1999]",1.0,58.0,00:32:39,1959.0
Earth Mover's Distance,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,400.0,2.0,,,,,,,,,,"[982, 1768]","[999, 1999]",0.5,17.0,00:29:41,1781.0
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500.0,50.0,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1.0,53.18095238095231,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500.0,100.0,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1.0,53.18095238095231,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500.0,150.0,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1.0,53.18095238095231,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500.0,200.0,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1.0,53.18095238095231,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500.0,250.0,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1.0,53.18095238095231,00:00:06,6.0
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI,,,,,,,,,,400.0,40.0,"[948.6, 1068.0, 1927.3]","[999, 1999]",0.8,61.05000000000001,00:00:06,6.0
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI,,,,,,,,,,400.0,80.0,"[959.4545454545455, 1927.3]","[999, 1999]",1.0,55.62272727272728,00:00:06,6.0
